41
(-5, 5.33333, 0.0) (0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-4.75, 6.25446, 0.0) (0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-4.5, 7, 0.0) (0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-4.25, 7.57887, 0.0) (0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-4, 8, 0.0) (0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-3.75, 8.27232, 0.0) (0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-3.5, 8.40476, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-3.25, 8.40625, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-3, 8.28571, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-2.75, 8.05208, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-2.5, 7.71429, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-2.25, 7.28125, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-2, 6.7619, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-1.75, 6.16518, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-1.5, 5.5, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-1.25, 4.7753, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-1, 4, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-0.75, 3.18304, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-0.5, 2.33333, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(-0.25, 1.45982, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(0, 0.571429, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(0.25, -0.322917, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(0.5, -1.21429, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(0.75, -2.09375, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(1, -2.95238, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(1.25, -3.78125, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(1.5, -4.57143, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(1.75, -5.31399, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(2, -6, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(2.25, -6.62054, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(2.5, -7.16667, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(2.75, -7.62946, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(3, -8, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(3.25, -8.26934, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(3.5, -8.42857, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(3.75, -8.46875, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(4, -8.38095, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(4.25, -8.15625, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(4.5, -7.78571, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(4.75, -7.26042, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
(5, -6.57143, 0.0)(0.000000, 1.000000, 0.000000) (0.000000, 0.000000)
