24576
(-8.000000, 0.287903, -8.000000) (0.000000, 0.000000, 0.287903) (0.000000, 1.000000) 
(-7.750000, -0.205380, -8.000000) (0.000000, 0.000000, -0.205380) (0.000000, 1.000000) 
(-8.000000, 0.289428, -7.750000) (0.000000, 0.000000, 0.289428) (0.000000, 1.000000) 
(-8.000000, 0.289428, -7.750000) (0.000000, 0.000000, 0.289428) (0.000000, 1.000000) 
(-7.750000, -0.205380, -8.000000) (0.000000, 0.000000, -0.205380) (0.000000, 1.000000) 
(-7.750000, -0.206467, -7.750000) (0.000000, 0.000000, -0.206467) (0.000000, 1.000000) 
(-8.000000, 0.289428, -7.750000) (0.000000, 0.000000, 0.289428) (0.000000, 1.000000) 
(-7.750000, -0.206467, -7.750000) (0.000000, 0.000000, -0.206467) (0.000000, 1.000000) 
(-8.000000, 0.272958, -7.500000) (0.000000, 0.000000, 0.272958) (0.000000, 1.000000) 
(-8.000000, 0.272958, -7.500000) (0.000000, 0.000000, 0.272958) (0.000000, 1.000000) 
(-7.750000, -0.206467, -7.750000) (0.000000, 0.000000, -0.206467) (0.000000, 1.000000) 
(-7.750000, -0.194718, -7.500000) (0.000000, 0.000000, -0.194718) (0.000000, 1.000000) 
(-8.000000, 0.272958, -7.500000) (0.000000, 0.000000, 0.272958) (0.000000, 1.000000) 
(-7.750000, -0.194718, -7.500000) (0.000000, 0.000000, -0.194718) (0.000000, 1.000000) 
(-8.000000, 0.239517, -7.250000) (0.000000, 0.000000, 0.239517) (0.000000, 1.000000) 
(-8.000000, 0.239517, -7.250000) (0.000000, 0.000000, 0.239517) (0.000000, 1.000000) 
(-7.750000, -0.194718, -7.500000) (0.000000, 0.000000, -0.194718) (0.000000, 1.000000) 
(-7.750000, -0.170862, -7.250000) (0.000000, 0.000000, -0.170862) (0.000000, 1.000000) 
(-8.000000, 0.239517, -7.250000) (0.000000, 0.000000, 0.239517) (0.000000, 1.000000) 
(-7.750000, -0.170862, -7.250000) (0.000000, 0.000000, -0.170862) (0.000000, 1.000000) 
(-8.000000, 0.191183, -7.000000) (0.000000, 0.000000, 0.191183) (0.000000, 1.000000) 
(-8.000000, 0.191183, -7.000000) (0.000000, 0.000000, 0.191183) (0.000000, 1.000000) 
(-7.750000, -0.170862, -7.250000) (0.000000, 0.000000, -0.170862) (0.000000, 1.000000) 
(-7.750000, -0.136383, -7.000000) (0.000000, 0.000000, -0.136383) (0.000000, 1.000000) 
(-8.000000, 0.191183, -7.000000) (0.000000, 0.000000, 0.191183) (0.000000, 1.000000) 
(-7.750000, -0.136383, -7.000000) (0.000000, 0.000000, -0.136383) (0.000000, 1.000000) 
(-8.000000, 0.130963, -6.750000) (0.000000, 0.000000, 0.130963) (0.000000, 1.000000) 
(-8.000000, 0.130963, -6.750000) (0.000000, 0.000000, 0.130963) (0.000000, 1.000000) 
(-7.750000, -0.136383, -7.000000) (0.000000, 0.000000, -0.136383) (0.000000, 1.000000) 
(-7.750000, -0.093424, -6.750000) (0.000000, 0.000000, -0.093424) (0.000000, 1.000000) 
(-8.000000, 0.130963, -6.750000) (0.000000, 0.000000, 0.130963) (0.000000, 1.000000) 
(-7.750000, -0.093424, -6.750000) (0.000000, 0.000000, -0.093424) (0.000000, 1.000000) 
(-8.000000, 0.062600, -6.500000) (0.000000, 0.000000, 0.062600) (0.000000, 1.000000) 
(-8.000000, 0.062600, -6.500000) (0.000000, 0.000000, 0.062600) (0.000000, 1.000000) 
(-7.750000, -0.093424, -6.750000) (0.000000, 0.000000, -0.093424) (0.000000, 1.000000) 
(-7.750000, -0.044656, -6.500000) (0.000000, 0.000000, -0.044656) (0.000000, 1.000000) 
(-8.000000, 0.062600, -6.500000) (0.000000, 0.000000, 0.062600) (0.000000, 1.000000) 
(-7.750000, -0.044656, -6.500000) (0.000000, 0.000000, -0.044656) (0.000000, 1.000000) 
(-8.000000, -0.009655, -6.250000) (0.000000, 0.000000, -0.009655) (0.000000, 1.000000) 
(-8.000000, -0.009655, -6.250000) (0.000000, 0.000000, -0.009655) (0.000000, 1.000000) 
(-7.750000, -0.044656, -6.500000) (0.000000, 0.000000, -0.044656) (0.000000, 1.000000) 
(-7.750000, 0.006888, -6.250000) (0.000000, 0.000000, 0.006888) (0.000000, 1.000000) 
(-8.000000, -0.009655, -6.250000) (0.000000, 0.000000, -0.009655) (0.000000, 1.000000) 
(-7.750000, 0.006888, -6.250000) (0.000000, 0.000000, 0.006888) (0.000000, 1.000000) 
(-8.000000, -0.081310, -6.000000) (0.000000, 0.000000, -0.081310) (0.000000, 1.000000) 
(-8.000000, -0.081310, -6.000000) (0.000000, 0.000000, -0.081310) (0.000000, 1.000000) 
(-7.750000, 0.006888, -6.250000) (0.000000, 0.000000, 0.006888) (0.000000, 1.000000) 
(-7.750000, 0.058004, -6.000000) (0.000000, 0.000000, 0.058004) (0.000000, 1.000000) 
(-8.000000, -0.081310, -6.000000) (0.000000, 0.000000, -0.081310) (0.000000, 1.000000) 
(-7.750000, 0.058004, -6.000000) (0.000000, 0.000000, 0.058004) (0.000000, 1.000000) 
(-8.000000, -0.147909, -5.750000) (0.000000, 0.000000, -0.147909) (0.000000, 1.000000) 
(-8.000000, -0.147909, -5.750000) (0.000000, 0.000000, -0.147909) (0.000000, 1.000000) 
(-7.750000, 0.058004, -6.000000) (0.000000, 0.000000, 0.058004) (0.000000, 1.000000) 
(-7.750000, 0.105513, -5.750000) (0.000000, 0.000000, 0.105513) (0.000000, 1.000000) 
(-8.000000, -0.147909, -5.750000) (0.000000, 0.000000, -0.147909) (0.000000, 1.000000) 
(-7.750000, 0.105513, -5.750000) (0.000000, 0.000000, 0.105513) (0.000000, 1.000000) 
(-8.000000, -0.205312, -5.500000) (0.000000, 0.000000, -0.205312) (0.000000, 1.000000) 
(-8.000000, -0.205312, -5.500000) (0.000000, 0.000000, -0.205312) (0.000000, 1.000000) 
(-7.750000, 0.105513, -5.750000) (0.000000, 0.000000, 0.105513) (0.000000, 1.000000) 
(-7.750000, 0.146462, -5.500000) (0.000000, 0.000000, 0.146462) (0.000000, 1.000000) 
(-8.000000, -0.205312, -5.500000) (0.000000, 0.000000, -0.205312) (0.000000, 1.000000) 
(-7.750000, 0.146462, -5.500000) (0.000000, 0.000000, 0.146462) (0.000000, 1.000000) 
(-8.000000, -0.249950, -5.250000) (0.000000, 0.000000, -0.249950) (0.000000, 1.000000) 
(-8.000000, -0.249950, -5.250000) (0.000000, 0.000000, -0.249950) (0.000000, 1.000000) 
(-7.750000, 0.146462, -5.500000) (0.000000, 0.000000, 0.146462) (0.000000, 1.000000) 
(-7.750000, 0.178305, -5.250000) (0.000000, 0.000000, 0.178305) (0.000000, 1.000000) 
(-8.000000, -0.249950, -5.250000) (0.000000, 0.000000, -0.249950) (0.000000, 1.000000) 
(-7.750000, 0.178305, -5.250000) (0.000000, 0.000000, 0.178305) (0.000000, 1.000000) 
(-8.000000, -0.279047, -5.000000) (0.000000, 0.000000, -0.279047) (0.000000, 1.000000) 
(-8.000000, -0.279047, -5.000000) (0.000000, 0.000000, -0.279047) (0.000000, 1.000000) 
(-7.750000, 0.178305, -5.250000) (0.000000, 0.000000, 0.178305) (0.000000, 1.000000) 
(-7.750000, 0.199062, -5.000000) (0.000000, 0.000000, 0.199062) (0.000000, 1.000000) 
(-8.000000, -0.279047, -5.000000) (0.000000, 0.000000, -0.279047) (0.000000, 1.000000) 
(-7.750000, 0.199062, -5.000000) (0.000000, 0.000000, 0.199062) (0.000000, 1.000000) 
(-8.000000, -0.290794, -4.750000) (0.000000, 0.000000, -0.290794) (0.000000, 1.000000) 
(-8.000000, -0.290794, -4.750000) (0.000000, 0.000000, -0.290794) (0.000000, 1.000000) 
(-7.750000, 0.199062, -5.000000) (0.000000, 0.000000, 0.199062) (0.000000, 1.000000) 
