7350
(-1.750000, -1.750000, 1.721975) (-1.750000, -1.750000, 1.721975) (0.000000, 1.000000) 
(-1.650000, -1.750000, 1.623577) (-1.750000, -1.750000, 1.623577) (0.000000, 1.000000) 
(-1.750000, -1.650000, 1.744514) (-1.750000, -1.750000, 1.744514) (0.000000, 1.000000) 
(-1.750000, -1.650000, 1.744514) (-1.750000, -1.750000, 1.744514) (0.000000, 1.000000) 
(-1.650000, -1.750000, 1.623577) (-1.750000, -1.750000, 1.623577) (0.000000, 1.000000) 
(-1.650000, -1.650000, 1.644827) (-1.750000, -1.750000, 1.644827) (0.000000, 1.000000) 
(-1.750000, -1.650000, 1.744514) (-1.750000, -1.650000, 1.744514) (0.000000, 1.000000) 
(-1.650000, -1.650000, 1.644827) (-1.750000, -1.650000, 1.644827) (0.000000, 1.000000) 
(-1.750000, -1.550000, 1.749622) (-1.750000, -1.650000, 1.749622) (0.000000, 1.000000) 
(-1.750000, -1.550000, 1.749622) (-1.750000, -1.650000, 1.749622) (0.000000, 1.000000) 
(-1.650000, -1.650000, 1.644827) (-1.750000, -1.650000, 1.644827) (0.000000, 1.000000) 
(-1.650000, -1.550000, 1.649643) (-1.750000, -1.650000, 1.649643) (0.000000, 1.000000) 
(-1.750000, -1.550000, 1.749622) (-1.750000, -1.550000, 1.749622) (0.000000, 1.000000) 
(-1.650000, -1.550000, 1.649643) (-1.750000, -1.550000, 1.649643) (0.000000, 1.000000) 
(-1.750000, -1.450000, 1.737248) (-1.750000, -1.550000, 1.737248) (0.000000, 1.000000) 
(-1.750000, -1.450000, 1.737248) (-1.750000, -1.550000, 1.737248) (0.000000, 1.000000) 
(-1.650000, -1.550000, 1.649643) (-1.750000, -1.550000, 1.649643) (0.000000, 1.000000) 
(-1.650000, -1.450000, 1.637976) (-1.750000, -1.550000, 1.637976) (0.000000, 1.000000) 
(-1.750000, -1.450000, 1.737248) (-1.750000, -1.450000, 1.737248) (0.000000, 1.000000) 
(-1.650000, -1.450000, 1.637976) (-1.750000, -1.450000, 1.637976) (0.000000, 1.000000) 
(-1.750000, -1.350000, 1.707516) (-1.750000, -1.450000, 1.707516) (0.000000, 1.000000) 
(-1.750000, -1.350000, 1.707516) (-1.750000, -1.450000, 1.707516) (0.000000, 1.000000) 
(-1.650000, -1.450000, 1.637976) (-1.750000, -1.450000, 1.637976) (0.000000, 1.000000) 
(-1.650000, -1.350000, 1.609944) (-1.750000, -1.450000, 1.609944) (0.000000, 1.000000) 
(-1.750000, -1.350000, 1.707516) (-1.750000, -1.350000, 1.707516) (0.000000, 1.000000) 
(-1.650000, -1.350000, 1.609944) (-1.750000, -1.350000, 1.609944) (0.000000, 1.000000) 
(-1.750000, -1.250000, 1.660723) (-1.750000, -1.350000, 1.660723) (0.000000, 1.000000) 
(-1.750000, -1.250000, 1.660723) (-1.750000, -1.350000, 1.660723) (0.000000, 1.000000) 
(-1.650000, -1.350000, 1.609944) (-1.750000, -1.350000, 1.609944) (0.000000, 1.000000) 
(-1.650000, -1.250000, 1.565825) (-1.750000, -1.350000, 1.565825) (0.000000, 1.000000) 
(-1.750000, -1.250000, 1.660723) (-1.750000, -1.250000, 1.660723) (0.000000, 1.000000) 
(-1.650000, -1.250000, 1.565825) (-1.750000, -1.250000, 1.565825) (0.000000, 1.000000) 
(-1.750000, -1.150000, 1.597337) (-1.750000, -1.250000, 1.597337) (0.000000, 1.000000) 
(-1.750000, -1.150000, 1.597337) (-1.750000, -1.250000, 1.597337) (0.000000, 1.000000) 
(-1.650000, -1.250000, 1.565825) (-1.750000, -1.250000, 1.565825) (0.000000, 1.000000) 
(-1.650000, -1.150000, 1.506060) (-1.750000, -1.250000, 1.506060) (0.000000, 1.000000) 
(-1.750000, -1.150000, 1.597337) (-1.750000, -1.150000, 1.597337) (0.000000, 1.000000) 
(-1.650000, -1.150000, 1.506060) (-1.750000, -1.150000, 1.506060) (0.000000, 1.000000) 
(-1.750000, -1.050000, 1.517990) (-1.750000, -1.150000, 1.517990) (0.000000, 1.000000) 
(-1.750000, -1.050000, 1.517990) (-1.750000, -1.150000, 1.517990) (0.000000, 1.000000) 
(-1.650000, -1.150000, 1.506060) (-1.750000, -1.150000, 1.506060) (0.000000, 1.000000) 
